Shipping Company,Posted date,Star rating,Review text,Source,YearMonth,Review Length,cleaned_review_text,neg,neu,pos,compound,sentiment_label,Company_Type
FedEx,2026-02-04,1,"Low-level service. Not recommended to order or let them handle your shipment. No one there knows how to provide clear answers or proper explanations without creating even more questions. They charge unreasonable fees and amounts without actually explaining what the payment is for. The payment process feels unsafe, and the shipment is not organized. They demand additional charges without prior notice or informing the customer. On top of that, the delivery itself is completely unorganized. The courier calls whenever he feels like it, without scheduling in advance, even though the customer is available and ready to pay. Without extra payment, the package is not delivered, and rescheduling the delivery becomes a huge and exhausting procedure. I will never order from or deal with FedEx again, and I strongly recommend everyone to stay away from them as a shipping company.",Trustpilot  FedEx (www.fedex.com),2026-02,878,lowlevel service not recommended to order or let them handle your shipment no one there knows how to provide clear answers or proper explanations without creating even more questions they charge unreasonable fees and amounts without actually explaining what the payment is for the payment process feels unsafe and the shipment is not organized they demand additional charges without prior notice or informing the customer on top of that the delivery itself is completely unorganized the courier calls whenever he feels like it without scheduling in advance even though the customer is available and ready to pay without extra payment the package is not delivered and rescheduling the delivery becomes a huge and exhausting procedure i will never order from or deal with fedex again and i strongly recommend everyone to stay away from them as a shipping company,0.076,0.81,0.114,0.7176,positive,Private
FedEx,2026-02-03,1,"I contacted FedEx Denmark to request an export price correction, but the staff was extremely cold and unhelpful. Instead of assisting with the amendment process, they just gave me the runaround and told me to ""ask Customs."" As a major carrier, they should take responsibility for their documentation errors or at least guide the customer. Disappointing experience.",Trustpilot  FedEx (www.fedex.com),2026-02,364,i contacted fedex denmark to request an export price correction but the staff was extremely cold and unhelpful instead of assisting with the amendment process they just gave me the runaround and told me to ask customs as a major carrier they should take responsibility for their documentation errors or at least guide the customer disappointing experience,0.119,0.881,0.0,-0.8126,negative,Private
FedEx,2026-02-04,1,"Absolutely garbage service. Package has had status out for delivery for more than 2 days and the customer service phone number routes you to just telling you it's out for delivery and that's all the information they have and hang up on you. The only way to get a real person is to say ""something else"", ""tech support"", ""something else"" and then that person will just tell you the same thing. Zero accountability, zero customer service, horrible organization. Will go out of my way to avoid FedEx whenever possible in the future.",Trustpilot  FedEx (www.fedex.com),2026-02,528,absolutely garbage service package has had status out for delivery for more than 2 days and the customer service phone number routes you to just telling you its out for delivery and thats all the information they have and hang up on you the only way to get a real person is to say something else tech support something else and then that person will just tell you the same thing zero accountability zero customer service horrible organization will go out of my way to avoid fedex whenever possible in the future,0.058,0.901,0.041,-0.4019,negative,Private
FedEx,2026-01-30,1,"This is the complete worst company ever first and last time. I had the most wordt experience with you ever. Ill never use fed ex again. Know wonder why it has a one star review says it all. Im a straight up honest person i call them as i see them. Worst experience. They say there delivering Sunday this time it don't happen have to be home to sign, then they say monday this time it dont happen either. They play games with people's minds. Well im an adult not a child play head games with someone else. My time is valuable. Can't fix stupid medicate it. There say there in this area Hunker not far from me yet cant give a time and keep lieing on a delivery time. Im sick of it. Here is a piece of advice treat people the way you want to be treated. Stop treating ur customers bad then they will leave you a good review.",Trustpilot  FedEx (www.fedex.com),2026-01,821,this is the complete worst company ever first and last time i had the most wordt experience with you ever ill never use fed ex again know wonder why it has a one star review says it all im a straight up honest person i call them as i see them worst experience they say there delivering sunday this time it dont happen have to be home to sign then they say monday this time it dont happen either they play games with peoples minds well im an adult not a child play head games with someone else my time is valuable cant fix stupid medicate it there say there in this area hunker not far from me yet cant give a time and keep lieing on a delivery time im sick of it here is a piece of advice treat people the way you want to be treated stop treating ur customers bad then they will leave you a good review,0.122,0.76,0.118,-0.4137,negative,Private
FedEx,2026-02-03,1,The worst shipping and customer lack of service.,Trustpilot  FedEx (www.fedex.com),2026-02,48,the worst shipping and customer lack of service,0.516,0.484,0.0,-0.7506,negative,Private
FedEx,2026-02-02,1,"Drivers are thieves. Last year I ordered a brahmins hand bags the fex driver delivered it at the wrong place this was the first time. it was ,$300.00. The second time I ordered a Motorola razor phone and the driver Left fit at the front that's on the floor at my senior citizen but. I did get it $599.00. Now this is the third time I ordered some pajamas They took it to a bank PNC instead of the post office and let someone else sign for my package $50.00 this to This is too many times that the drivers has done this. When are you going to investigate and realize that those drivers need to go? Somebody is stealing.",Trustpilot  FedEx (www.fedex.com),2026-02,618,drivers are thieves last year i ordered a brahmins hand bags the fex driver delivered it at the wrong place this was the first time it was 30000 the second time i ordered a motorola razor phone and the driver left fit at the front thats on the floor at my senior citizen but i did get it 59900 now this is the third time i ordered some pajamas they took it to a bank pnc instead of the post office and let someone else sign for my package 5000 this to this is too many times that the drivers has done this when are you going to investigate and realize that those drivers need to go somebody is stealing,0.072,0.898,0.03,-0.7506,negative,Private
FedEx,2026-01-28,1,They steal items. I was told by the people I ordered my phone from which is best buy that Fedex workers are the ones keep stealing my phone. This has happened twice. They cut open the bottom of the box and put clear tape on where they opened it up. Always look for the clear tape over the brown seal tape usually at the bottom of the box.,Trustpilot  FedEx (www.fedex.com),2026-01,338,they steal items i was told by the people i ordered my phone from which is best buy that fedex workers are the ones keep stealing my phone this has happened twice they cut open the bottom of the box and put clear tape on where they opened it up always look for the clear tape over the brown seal tape usually at the bottom of the box,0.112,0.771,0.117,0.1027,positive,Private
FedEx,2026-01-31,1,So many lies. Ive never had to deal with so many lies they keep telling me about why my package hasnt been delivered and they say they dont know the location is on a map. Ive talked too so many people about my lost driver and package its unbelievable. They keep telling me every day for four days before I hang up that I will get my package by the end of the day.,Trustpilot  FedEx (www.fedex.com),2026-01,368,so many lies ive never had to deal with so many lies they keep telling me about why my package hasnt been delivered and they say they dont know the location is on a map ive talked too so many people about my lost driver and package its unbelievable they keep telling me every day for four days before i hang up that i will get my package by the end of the day,0.105,0.872,0.022,-0.7688,negative,Private
FedEx,2026-02-01,1,"How do you guys stay in business. The last 5 packages from you guys are always 3 to 7 days later than the day you say it will be delivered. You tracking shows it on the truck and out for delivery and then at 9 PM at night, status is updated with various excuses. Weather, shipping problems, problem with delivery, and others. I NEVER use fedex and if a company uses you I request different carrier or shop elsewhere. Just say your motto is: ""WE don't care, we are always late, deal with it, if you don't like it, tough there is nothing you can do about it."" smh",Trustpilot  FedEx (www.fedex.com),2026-02,561,how do you guys stay in business the last 5 packages from you guys are always 3 to 7 days later than the day you say it will be delivered you tracking shows it on the truck and out for delivery and then at 9 pm at night status is updated with various excuses weather shipping problems problem with delivery and others i never use fedex and if a company uses you i request different carrier or shop elsewhere just say your motto is we dont care we are always late deal with it if you dont like it tough there is nothing you can do about it smh,0.106,0.882,0.012,-0.877,negative,Private
FedEx,2026-02-04,1,"What the hell
My mom had been waiting for my package for FOUR HOURS, just for them to deem that no one was home. They DIDNT EVEN KNOCK ON THE DOOR!! Sorry I'm really frustrated that I've had to postpone my package so many times to be able to receive it, just for it to not be delivered. I still haven't received it :(",Trustpilot  FedEx (www.fedex.com),2026-02,317,what the hell my mom had been waiting for my package for four hours just for them to deem that no one was home they didnt even knock on the door sorry im really frustrated that ive had to postpone my package so many times to be able to receive it just for it to not be delivered i still havent received it,0.191,0.809,0.0,-0.9134,negative,Private
FedEx,2026-02-03,1,"I contacted FedEx Denmark to request an export price correction, but the staff was extremely cold and unhelpful. Instead of assisting with the amendment process, they just gave me the runaround and told me to ""ask Customs."" As a major carrier, they should take responsibility for their documentation errors or at least guide the customer. Disappointing experience.",Trustpilot  FedEx (www.fedex.com),2026-02,364,i contacted fedex denmark to request an export price correction but the staff was extremely cold and unhelpful instead of assisting with the amendment process they just gave me the runaround and told me to ask customs as a major carrier they should take responsibility for their documentation errors or at least guide the customer disappointing experience,0.119,0.881,0.0,-0.8126,negative,Private
FedEx,2026-02-03,5,"Awesome employee experience
The employee who delivered my moms package today went above and beyond, there was snow on the ground and on the porch so he knocked on the door to hand deliver the item so it didnt get wet! Im am very impressed and thankful for his kindness",Trustpilot  FedEx (www.fedex.com),2026-02,270,awesome employee experience the employee who delivered my moms package today went above and beyond there was snow on the ground and on the porch so he knocked on the door to hand deliver the item so it didnt get wet im am very impressed and thankful for his kindness,0.0,0.718,0.282,0.9562,positive,Private
FedEx,2026-02-02,1,"Worst customer service
We tried to contact fed ex multiple times due to it said we received all 3 packages for building a shed. We left multiple messages and never received a call back. We called again last night sat on hold to speak with someone and when we finally got someone she told us we needed to contact the sending company and the need to file a claim. I told her we had already spoke with them and they said weneeded to speak with fed ex. We tracked down our missing package and someone signed for it in another state. I told her I wanted to speak with a supervisor and she said that wasn't an option. We still haven't resolved our problem because nobody will help us. Fed ex has been a huge let down and I wanted to share the horrible customer service we received!",Trustpilot  FedEx (www.fedex.com),2026-02,775,worst customer service we tried to contact fed ex multiple times due to it said we received all 3 packages for building a shed we left multiple messages and never received a call back we called again last night sat on hold to speak with someone and when we finally got someone she told us we needed to contact the sending company and the need to file a claim i told her we had already spoke with them and they said weneeded to speak with fed ex we tracked down our missing package and someone signed for it in another state i told her i wanted to speak with a supervisor and she said that wasnt an option we still havent resolved our problem because nobody will help us fed ex has been a huge let down and i wanted to share the horrible customer service we received,0.07,0.871,0.059,-0.4329,negative,Private
FedEx,2026-02-03,1,"Every time I pay for second day my packages get lost, very frustrating dealing with fedex!",Trustpilot  FedEx (www.fedex.com),2026-02,90,every time i pay for second day my packages get lost very frustrating dealing with fedex,0.347,0.653,0.0,-0.7089,negative,Private
FedEx,2026-02-03,1,"If I could 0 stars I would. Had a package to come, was not home and was left a door tag. Called and requested it be pulled off the truck so I could come into location and sign. I was told, after spending 45 minutes for girl to complete, that she would schedule delivery between 4:30 and 8:30, and someone would call to confirm. LIES LIES LIES. nope got another door tag, called and was told this could not be done, and they would make delivery tomorrow, despite me repeatedly stating no one would be here.
WORST CUSTOMER SERVICE EVER. WOULD NEVER SEND A PACKAGE WITH THEM, EVER!!!!!",Trustpilot  FedEx (www.fedex.com),2026-02,582,if i could 0 stars i would had a package to come was not home and was left a door tag called and requested it be pulled off the truck so i could come into location and sign i was told after spending 45 minutes for girl to complete that she would schedule delivery between 430 and 830 and someone would call to confirm lies lies lies nope got another door tag called and was told this could not be done and they would make delivery tomorrow despite me repeatedly stating no one would be here worst customer service ever would never send a package with them ever,0.125,0.875,0.0,-0.9287,negative,Private
FedEx,2026-02-03,1,"Delayed Package/Rude Customer Service
I had ordered my item on January 26, 2026 on Wayfair. It is understandable that inclement weather had created a delay with the shipping. However, it is now February 3, 2026. When I follow-up on the tracking with Fed Ex, the website would provide me with misinformation. Fed Ex would mention a delivery on the day of me checking the tracking. Subsequently, it would then inform me that the packages would be delivered the next day. At this point, Ive been experiencing this delay for close to - if not - over a week. I can recount calling Fed Ex. Due to my back issues, I had called Fed Ex to request that they deliver the package directly to my apartment- with the assistance of the leasing consultants to bring the packages inside my unit or at the front door. One agent just reiterated the tracking like a robot, and before I could speak, she transferred me to the automated review line. I called again, as the male agent started with his scripted speaking points for my information, I had interjected to make him aware for the purpose of my call, he then immediately transfers me to the automated review line. Upon the third call, the agent was extremely helpful. However, despite requesting packages be delivered to my front door, the Fed Ex delivery driver placed one of my packages in the Luxer Storage Room at my apartment building. That particular package was ordered after the aforementioned packages that I am still waiting for delivery. I dont know whats going on with Fed Ex, but they have really disappointed me.",Trustpilot  FedEx (www.fedex.com),2026-02,1566,delayed packagerude customer service i had ordered my item on january 26 2026 on wayfair it is understandable that inclement weather had created a delay with the shipping however it is now february 3 2026 when i followup on the tracking with fed ex the website would provide me with misinformation fed ex would mention a delivery on the day of me checking the tracking subsequently it would then inform me that the packages would be delivered the next day at this point ive been experiencing this delay for close to if not over a week i can recount calling fed ex due to my back issues i had called fed ex to request that they deliver the package directly to my apartment with the assistance of the leasing consultants to bring the packages inside my unit or at the front door one agent just reiterated the tracking like a robot and before i could speak she transferred me to the automated review line i called again as the male agent started with his scripted speaking points for my information i had interjected to make him aware for the purpose of my call he then immediately transfers me to the automated review line upon the third call the agent was extremely helpful however despite requesting packages be delivered to my front door the fed ex delivery driver placed one of my packages in the luxer storage room at my apartment building that particular package was ordered after the aforementioned packages that i am still waiting for delivery i dont know whats going on with fed ex but they have really disappointed me,0.04,0.941,0.019,-0.7055,negative,Private
FedEx,2026-02-03,1,"Do not touch this company if you are a collector and value your prised items.
We haven't received a delivery in over a week and no tracking update.
Poor service, would never recommend them to anyone in the collector fraternity",Trustpilot  FedEx (www.fedex.com),2026-02,226,do not touch this company if you are a collector and value your prised items we havent received a delivery in over a week and no tracking update poor service would never recommend them to anyone in the collector fraternity,0.162,0.786,0.052,-0.6136,negative,Private
FedEx,2026-01-29,1,Well fedex are appalling 2 days running parcel should have arrived no it dident looked at tracking it was in Newcastle then went to Stansted what a joke had a call from fedex said they dont have my. House number what is going on Iv tried to cancel this parcel its paint for gods sake probably thrown everywhere I ordered from Argos so that wont be happening again utter shambles of a firm,Trustpilot  FedEx (www.fedex.com),2026-01,392,well fedex are appalling 2 days running parcel should have arrived no it dident looked at tracking it was in newcastle then went to stansted what a joke had a call from fedex said they dont have my house number what is going on iv tried to cancel this parcel its paint for gods sake probably thrown everywhere i ordered from argos so that wont be happening again utter shambles of a firm,0.084,0.845,0.071,-0.2732,negative,Private
FedEx,2025-12-29,1,"One of the worst services I have ever experienced.
My shipment has been stuck for more than a month.
Neither the dispatcher nor the receiver has any status updates.
Whenever I call, the only reply I get is that they dont have any information.
My humble request: please do not ship your valuable items with this irresponsible company. They are not reliable.
My AWB number is-424602959872
Nobody knows where is my shipment",Trustpilot  FedEx (www.fedex.com),2025-12,421,one of the worst services i have ever experienced my shipment has been stuck for more than a month neither the dispatcher nor the receiver has any status updates whenever i call the only reply i get is that they dont have any information my humble request please do not ship your valuable items with this irresponsible company they are not reliable my awb number is424602959872 nobody knows where is my shipment,0.147,0.809,0.044,-0.8566,negative,Private
